popularity,acousticness,danceability,instrumentalness,speechiness,liveness,energy,loudness,valence,duration_ms,tempo,key,mode
59,0.0617,0.646,0,0.052,0.0692,0.658,-4.678,0.44,190867,92.001,7,1
59,0.186,0.734,0,0.4,0.372,0.543,-7.979,0.336,237295,78.168,1,1
59,0.137,0.908,1.41E-05,0.221,0.22,0.638,-6.663,0.388,197307,130.007,10,0
59,0.177,0.514,0,0.408,0.351,0.693,-5.868,0.287,240640,110.568,9,1
59,0.874,0.716,4.20E-05,0.34,0.136,0.414,-12.536,0.698,119683,147.974,10,1
59,0.0103,0.766,2.22E-06,0.0341,0.116,0.499,-8.731,0.92,209560,129.976,9,1
59,0.115,0.573,0.00012,0.0336,0.402,0.718,-6.372,0.284,223907,123.994,2,1
59,0.106,0.654,9.17E-06,0.0417,0.161,0.886,-2.808,0.704,179937,147.959,4,1
59,0.163,0.843,0,0.362,0.112,0.548,-6.667,0.247,166856,143.069,8,1
59,0.0335,0.781,0,0.589,0.163,0.487,-8.823,0.344,182723,95.879,8,1
59,0.027,0.879,0,0.061,0.0656,0.732,-5.016,0.355,156284,120.052,11,0
59,0.101,0.715,0,0.396,0.11,0.652,-7.909,0.498,257646,109.28,6,0
59,0.0117,0.532,0,0.591,0.0528,0.956,-0.902,0.613,185600,150.016,9,0
59,0.0989,0.859,0,0.399,0.0918,0.574,-6.16,0.405,219817,149.995,7,1
59,0.616,0.485,0.00805,0.0238,0.121,0.513,-8.912,0.192,206465,93.997,0,1
59,0.327,0.236,0.00015,0.0404,0.206,0.578,-5.477,0.227,279373,75.367,7,1
59,0.00151,0.753,7.10E-06,0.165,0.291,0.616,-7.34,0.287,196333,156.83,2,1
59,0.138,0.687,0,0.066,0.203,0.602,-5.005,0.309,207013,78.487,6,0
59,0.423,0.732,0,0.21,0.11,0.73,-6.61,0.426,179783,90.069,7,1
59,0.0295,0.971,0,0.23,0.097,0.465,-5.655,0.131,160518,119.994,1,1
59,0.00836,0.81,0,0.473,0.275,0.608,-3.244,0.309,98599,156.978,1,1
59,0.102,0.912,0,0.141,0.179,0.755,-5.394,0.625,161200,140.051,2,1
59,0.872,0.566,3.77E-05,0.29,0.174,0.541,-11.209,0.552,114547,87.02,5,1
59,0.528,0.767,0.056,0.261,0.208,0.956,-3.833,0.427,123871,77.505,10,1
59,0.000322,0.511,0,0.404,0.111,0.718,-6.293,0.267,362839,166.42,11,0
59,0.271,0.49,0,0.26,0.17,0.726,-6.793,0.25,251177,171.945,0,0
59,0.0659,0.47,3.85E-05,0.104,0.0962,0.696,-4.749,0.802,205442,169.976,9,1
59,0.359,0.705,0,0.212,0.169,0.65,-5.654,0.658,257274,91.053,7,0
59,0.0805,0.705,0,0.32,0.476,0.816,-7.046,0.929,138872,94.211,10,0
59,0.023,0.703,1.28E-06,0.0463,0.0786,0.825,-5.789,0.448,185333,89.991,7,1
59,0.0271,0.716,0,0.339,0.342,0.619,-10.227,0.584,135547,162.958,2,1
59,0.213,0.677,7.02E-06,0.324,0.554,0.843,-5.354,0.734,208571,84.993,9,1
59,0.0241,0.521,0,0.0508,0.0395,0.663,-8.05,0.353,328707,127.997,5,0
59,0.171,0.645,0,0.343,0.337,0.272,-17.213,0.358,99474,110.479,8,1
59,5.40E-05,0.548,0.0421,0.0519,0.199,0.945,-3.126,0.383,203274,93.96,4,0
59,0.00889,0.377,1.15E-06,0.157,0.482,0.506,-4.773,0.787,141000,145.254,11,0
59,0.0918,0.805,4.34E-05,0.0839,0.104,0.812,-6.353,0.759,185045,114.982,2,1
59,0.544,0.577,3.29E-06,0.0312,0.103,0.53,-6.749,0.22,241147,85.471,7,1
59,0.0508,0.779,0,0.344,0.1,0.591,-8.504,0.501,167442,86.02,8,1
59,0.0168,0.706,4.62E-05,0.0565,0.106,0.935,-2.418,0.214,243692,130.001,6,1
59,0.0706,0.856,1.33E-06,0.195,0.0991,0.418,-9.751,0.271,193907,149.976,1,1
59,0.0514,0.483,0.163,0.0323,0.0981,0.556,-8.296,0.231,300027,140.001,10,1
59,0.612,0.686,0,0.291,0.121,0.469,-9.065,0.156,218624,72.998,1,1
59,0.523,0.571,5.48E-05,0.0401,0.148,0.688,-4.943,0.346,260903,155.157,11,0
59,0.162,0.373,0,0.0612,0.48,0.862,-1.98,0.32,150267,113.252,1,1
59,0.277,0.635,0.00634,0.0338,0.081,0.496,-8.858,0.733,211413,141.863,9,1
59,0.389,0.581,1.68E-05,0.0781,0.0766,0.315,-11.947,0.185,246088,61.381,5,0
59,0.184,0.262,0,0.0303,0.294,0.398,-9.509,0.11,136668,102.835,2,1
59,0.355,0.746,0.00071,0.134,0.0813,0.358,-8.072,0.233,172954,74.023,0,0
59,0.601,0.536,2.26E-05,0.0621,0.113,0.322,-12.834,0.236,244355,135.5,7,1
59,0.0419,0.405,1.38E-05,0.142,0.108,0.62,-6.806,0.48,201342,195.881,0,0
59,0.64,0.639,0,0.378,0.0518,0.332,-11.482,0.866,259227,83.306,5,1
59,5.45E-05,0.466,0,0.0976,0.234,0.864,-5.586,0.481,197835,138.075,3,0
59,0.0814,0.8,0,0.104,0.108,0.743,-5.105,0.628,175135,111.061,6,0
59,0.974,0.637,0.148,0.0319,0.359,0.164,-16.608,0.37,115375,109.945,5,1
59,0.144,0.622,0.0165,0.145,0.194,0.515,-7.959,0.217,263870,168.265,8,0
60,0.103,0.834,0,0.391,0.145,0.375,-6.258,0.389,60056,95.993,0,1
60,0.00988,0.736,0,0.135,0.0731,0.568,-5.973,0.514,212400,145.93,1,1
60,0.259,0.606,2.99E-06,0.0288,0.159,0.455,-7.317,0.329,250253,144.836,6,1
60,0.832,0.6,0,0.0314,0.106,0.229,-12.336,0.146,131500,110,5,1
60,0.0304,0.211,0,0.041,0.0978,0.558,-6.232,0.317,327000,143.452,3,1
60,0.023,0.526,0,0.0313,0.0948,0.85,-4.47,0.338,184173,141.973,10,0
60,0.000173,0.555,2.69E-06,0.0533,0.139,0.938,-4.901,0.401,209703,96.504,11,0
60,0.892,0.449,0.000755,0.0361,0.892,0.296,-12.608,0.139,194813,139.828,0,1
60,0.692,0.609,0,0.0265,0.0688,0.44,-6.32,0.43,199119,108.427,10,1
60,0.121,0.772,0,0.121,0.0598,0.594,-6.22,0.498,186988,152.952,8,1
60,0.0547,0.551,1.18E-05,0.0421,0.0743,0.685,-8.649,0.289,217633,100.05,7,1
60,0.203,0.671,0,0.0667,0.223,0.775,-3.969,0.331,227060,148.195,10,0
60,0.64,0.587,0.391,0.0394,0.11,0.514,-11.924,0.15,274553,156.948,1,0
60,0.00299,0.61,0,0.0693,0.064,0.87,-4.012,0.523,211360,125.014,2,0
60,0.27,0.803,0,0.318,0.0819,0.54,-6.862,0.345,220260,139.989,1,0
60,0.155,0.837,0.000511,0.33,0.225,0.403,-10.053,0.2,195636,82.517,2,1
60,0.0276,0.569,0,0.226,0.479,0.836,-3.831,0.0927,250920,75.701,4,0
60,0.201,0.643,0,0.12,0.108,0.589,-4.793,0.324,171947,158.108,4,0
60,0.0218,0.551,0,0.163,0.302,0.562,-6.862,0.438,316192,135.679,8,0
60,0.709,0.385,0,0.167,0.235,0.757,-5.96,0.469,194595,82.673,0,1
60,0.033,0.879,0,0.309,0.716,0.662,-6.162,0.724,189909,117.975,2,1
60,0.32,0.683,0,0.0587,0.222,0.63,-5.146,0.452,203325,159.927,1,1
60,0.125,0.58,0,0.2,0.086,0.577,-5.997,0.153,193243,99.283,2,0
60,0.113,0.849,0,0.214,0.152,0.582,-6.407,0.516,156837,100.049,8,1
60,0.0694,0.721,0,0.0626,0.115,0.358,-9.909,0.167,235991,109.916,7,1
60,0.00965,0.557,0,0.0376,0.0536,0.844,-4.623,0.756,211867,147.079,7,1
60,0.268,0.709,0,0.186,0.24,0.264,-17.696,0.341,219437,133.858,1,0
60,0.0102,0.68,0.00105,0.0582,0.113,0.536,-6.669,0.417,233947,119.958,5,0
60,0.0357,0.875,0,0.34,0.113,0.568,-8.619,0.648,185267,140.082,11,0
60,0.147,0.853,2.79E-06,0.149,0.186,0.572,-5.086,0.569,216547,90.938,1,1
60,0.839,0.66,0.714,0.0451,0.374,0.45,-11.011,0.242,194547,145.011,4,1
60,0.464,0.387,0.00527,0.0318,0.102,0.278,-8.454,0.0632,300707,153.426,7,0
60,0.0996,0.715,3.41E-06,0.24,0.186,0.617,-5.558,0.283,130929,176.117,11,0
60,0.388,0.689,0,0.0368,0.129,0.426,-9.449,0.411,237983,90.049,0,0
60,0.0236,0.841,0,0.416,0.418,0.538,-12.349,0.776,153757,149.906,8,0
60,0.277,0.793,1.40E-05,0.385,0.109,0.395,-5.578,0.129,213287,77.027,1,1
60,0.469,0.764,0,0.0833,0.123,0.784,-4.003,0.51,186403,144.981,10,0
60,0.0414,0.644,0,0.0643,0.34,0.882,-3.146,0.55,225040,99.861,7,1
60,0.00754,0.944,0.0107,0.135,0.141,0.752,-2.625,0.489,87313,134.039,11,0
60,0.365,0.677,3.63E-05,0.303,0.12,0.497,-8.064,0.461,190605,172.164,10,0
60,0.00325,0.435,3.10E-06,0.0511,0.352,0.838,-4.478,0.305,203680,146.966,6,1
60,0.0867,0.568,0,0.108,0.0972,0.607,-7.438,0.269,241427,95.056,9,0
60,0.257,0.686,0.00281,0.0968,0.088,0.701,-5.702,0.605,233266,173.994,5,0
60,0.00779,0.811,0.0642,0.161,0.13,0.526,-7.003,0.248,180080,149.954,8,1
60,0.104,0.691,0,0.347,0.123,0.75,-3.934,0.345,226963,143.744,10,0
60,0.152,0.606,0.000765,0.032,0.196,0.633,-7.19,0.535,219013,142.016,9,1
60,0.000248,0.376,2.64E-06,0.166,0.0575,0.967,-3.277,0.226,200907,91.582,3,0
60,0.967,0.748,0.0512,0.258,0.121,0.225,-16.484,0.35,179182,96.99,0,0
60,0.000897,0.879,2.09E-05,0.551,0.108,0.41,-9.233,0.0703,288364,80.011,8,1
60,0.0378,0.538,0,0.119,0.159,0.605,-5.413,0.657,146573,39.497,3,1
60,0.175,0.854,0,0.244,0.241,0.708,-5.805,0.172,162133,118.032,1,0
60,0.171,0.605,0,0.385,0.151,0.887,-3.108,0.542,258166,158.274,8,0
60,0.507,0.794,0,0.0523,0.115,0.496,-6.961,0.762,235076,100,0,1
60,0.0119,0.578,1.79E-05,0.0405,0.0744,0.862,-3.059,0.547,157425,100.049,8,0
60,0.271,0.641,0.00223,0.03,0.133,0.487,-7.098,0.322,124954,108.933,2,1
60,0.288,0.821,0,0.0899,0.104,0.636,-6.038,0.4,162268,142.008,7,0
60,0.0854,0.851,0,0.268,0.374,0.702,-4.172,0.179,215839,126.94,1,1
60,0.122,0.7,0.000549,0.0428,0.114,0.435,-12.597,0.21,149813,141.914,0,1
60,0.327,0.495,5.39E-06,0.0276,0.269,0.444,-8.617,0.65,168849,105.431,5,1
60,0.471,0.667,0,0.342,0.101,0.465,-10.337,0.474,329542,133.859,1,1
60,0.373,0.593,0.000808,0.117,0.281,0.673,-6.324,0.88,156547,150.526,2,1
60,0.0518,0.789,5.72E-06,0.0454,0.101,0.552,-7.498,0.379,197885,134.968,5,1
